一级行业分类,二级行业分类,企业/机构名称,总部所在地,企业官网,核心品牌/产品/服务
文化/体育,体育器材制造,江苏金陵体育器材股份有限公司,中国张家港,‑_ http://www.jlsports.com,• 主品牌：金陵体育 
,,,,,• 核心产品：体育器材、健身器材、体育场馆设施、场馆座椅、舞台设备等
文化/体育,体育场地设施,江苏共创人造草坪股份有限公司,中国淮安,‑_ http://www.ccgrass.cn,• 主品牌：共创草坪 
,,,,,• 核心业务：人造草坪的研发、制造和销售，为全球体育产业提供基础设施产品
文化与教育,综合性教育集团,新东方教育科技集团 (New Oriental),中国北京,‑_ www.xdf.cn,• 核心业务：语言培训、K12教育、国际教育、大学生考试培训、素质教育
,,,,,• 创新业务：东方甄选（直播电商）、新东方文旅
,,,,,• 品牌理念：致力于成为以学生全面成长为核心、以科技为驱动力的综合性教育集团
文化与教育,科技驱动型教育集团,好未来（学而思）(TAL Education),中国北京,‑_ www.100tal.com,• 核心品牌：学而思素养、学而思网校、学而思智能硬件（学习机等）
,,,,,• 科技研发：自研教育大模型（九章大模型）
,,,,,• 业务生态：覆盖科教、科创、科普三大战略方向，服务个人与机构用户
文化与教育,职业考试培训,中公教育 (OFFCN),中国北京,‑_ www.offcn.com,• 核心业务：公务员、事业单位、教师等公职类招录考试培训
,,,,,• 服务模式：面授、线上课程、图书出版与发行
,,,,,• 业务范围：涵盖学历提升、职业资格与能力培训等多个板块
文化与教育,IT职业教育,达内教育 (Tedu),中国北京,‑_ www.tedu.cn,• 核心课程：Java、Python、C++、UI/UE、网络营销、云计算、大数据等IT技能培训
,,,,,• 业务拓展：青少年编程等科技素质教育
,,,,,• 合作特色：与多家企业有人才合作，提供就业推荐服务
文化与教育,职业考试培训,华图教育 (Huatu),中国北京,‑_ www.huatu.com,• 核心业务：公务员、事业单位、教师、医疗等公职类考试培训
,,,,,• 业务模式：面授培训、网络教学、图书出版
文化与教育,在线职业培训,粉笔公考 (Fenbi),中国北京,‑_ www.fenbi.com,• 核心业务：公务员、事业单位、教师等考试线上培训
,,,,,• 产品特色：以APP为载体，提供线上课程、题库、模考等服务
文化与教育,IT职业教育,传智教育（黑马程序员）(Itcast),中国江苏沭阳,‑_ www.itcast.cn,• 核心品牌：黑马程序员（IT短期培训）、博学谷（在线教育）、传智专修学院（学历教育）
,,,,,• 课程方向：Java、Python、前端开发等软件开发和数字艺术设计培训
文化与教育,财经职业教育,高顿教育 (Gaodun),中国上海,‑_ www.gaodun.com,• 核心业务：财经证书（如CPA、ACCA、CFA）培训、财经大学教育
,,,,,• 服务对象：个人用户、企业用户（提供企业财税培训服务）
文化与教育,远程教育,正保远程教育 (ChinaAcc),中国北京,‑_ www.chinaacc.com,• 核心业务：会计、医学、建设工程等行业的远程职业教育
,,,,,• 运营模式：网络教育平台，提供各类资格考试在线课程
文化与教育,留学语言培训,环球教育 (Global Education),中国北京,‑_ https://www.gedu.net.cn/about/,• 核心业务：雅思、托福等出国留学语言考试培训及相关服务
